10 13
5 4 3
3 5 1
5 3 2
4 5 1
2 3 1
5 5
70 37 54
65 77 87
25 9 5
56 81 98
1 61 20
3 1 5
4 2 5
3 5 2
4 2 1
2 1 3
5 6
82 47 71
23 10 2
28 44 84
59 72 8
75 75 63
1 2 3
3 1 5
3 4 2
3 2 5
4 3 5
5 4 1
5 6
79 33 70
21 67 55
9 40 82
95 54 92
51 12 34
2 4 1
3 5 2
1 2 3
1 4 5
2 3 4
4 1 3
5 6
86 65 55
54 69 82
37 41 85
55 77 26
18 6 77
3 4 2
2 1 5
2 4 1
4 5 2
1 4 5
5 3 1
5 7
71 9 94
69 100 80
50 62 5
76 65 25
20 4 48
4 2 5
1 2 4
5 3 4
4 3 2
1 2 5
5 1 4
2 3 5
5 6
75 59 85
67 82 4
3 39 90
28 85 25
25 76 36
1 3 2
5 2 3
3 4 2
4 3 5
5 4 2
1 2 4
5 3
99 17 1
28 3 17
4 70 78
74 41 12
82 16 17
5 2 3
2 5 1
4 3 2
5 4
67 18 9
74 29 48
22 92 58
42 83 40
11 73 15
5 3 4
2 3 1
4 1 5
5 2 3
5 4
75 5 11
98 60 1
1 21 8
58 59 28
69 84 57
1 5 3
1 5 4
3 5 4
1 3 4
5 6
70 1 39
61 28 26
28 67 46
59 74 88
23 27 8
4 2 3
5 4 3
4 5 2
1 2 5
5 2 3
1 2 4
5 6
40 83 91
19 77 20
57 91 17
72 54 98
28 90 99
5 4 3
2 3 5
1 5 4
3 4 1
3 2 4
4 2 5
5 5
74 5 31
46 87 62
87 2 56
46 10 32
79 46 3
2 4 5
5 4 1
2 4 1
3 4 2
1 4 3
5 4
30 8 62
8 4 21
5 37 18
53 24 61
79 9 16
4 2 1
4 1 5
1 5 2
2 1 3
5 7
23 32 70
94 40 77
21 51 72
86 89 70
80 73 24
1 3 2
5 4 1
3 5 4
1 5 3
2 1 4
4 5 2
5 2 1
5 4
26 10 47
35 91 46
43 5 19
13 88 57
87 77 40
1 5 4
1 4 2
2 3 4
5 3 2
5 7
75 21 87
32 71 92
10 64 53
6 47 51
69 31 64
2 4 5
4 5 3
1 4 5
4 2 1
3 5 2
4 2 3
1 2 5
5 6
81 9 46
90 11 68
75 63 64
32 36 41
86 58 91
1 3 4
5 1 2
5 4 1
4 5 3
4 5 2
4 1 2
5 6
56 56 31
10 98 60
93 41 35
94 68 94
94 86 56
5 3 1
1 4 3
4 1 2
5 2 3
1 2 3
4 3 2
5 4
58 59 4
50 45 81
61 66 87
34 72 50
6 33 32
3 1 4
5 1 3
5 4 1
4 5 3
5 4
74 64 36
82 58 42
90 71 26
88 82 22
89 76 95
2 5 1
1 4 3
5 2 4
4 3 2
5 7
1 33 25
88 43 29
15 86 56
68 70 12
2 12 81
1 5 2
1 3 5
3 4 2
3 2 1
4 3 1
2 3 5
2 4 1
5 5
29 68 93
44 87 41
78 76 40
95 41 19
27 8 57
3 1 5
3 4 1
1 2 5
3 1 2
5 3 2
5 7
100 55 47
57 18 77
18 71 31
84 66 39
17 80 32
3 4 2
2 1 3
1 4 2
3 1 4
2 5 4
1 5 2
3 5 4
5 7
54 59 82
92 31 68
61 83 72
91 90 20
56 44 5
3 4 1
3 4 2
5 2 4
3 5 1
3 2 1
5 4 1
3 5 4
5 7
46 65 7
54 71 26
2 40 100
63 39 2
40 57 93
2 4 5
1 3 4
4 3 2
2 3 1
2 4 1
5 3 4
3 2 5
5 4
37 8 88
45 12 55
57 53 49
31 55 74
41 65 37
3 4 5
3 4 1
1 5 2
1 3 5
5 7
22 67 65
17 68 68
75 41 24
47 94 57
49 61 38
2 4 3
4 5 2
3 1 2
4 1 3
5 3 4
2 5 3
4 2 1
5 6
63 52 27
77 5 68
85 45 25
72 43 78
50 61 23
4 1 2
1 3 5
4 1 5
3 2 4
2 1 5
4 3 1
5 5
80 30 90
71 81 44
8 76 92
50 91 14
56 77 33
1 2 5
3 4 1
2 4 3
3 1 5
5 3 4
5 4
43 24 89
35 98 24
69 75 16
16 73 5
35 31 72
1 4 5
2 4 3
2 1 4
1 3 2
5 5
33 60 36
46 78 9
100 27 8
94 18 75
6 31 4
3 5 1
2 5 3
1 5 4
3 1 2
2 4 1
5 3
61 44 14
79 94 48
59 56 97
19 18 50
37 52 88
3 1 2
2 4 5
3 1 4
5 6
40 29 56
70 13 4
100 60 47
12 14 87
36 5 80
4 1 5
3 1 5
2 5 4
5 3 4
1 3 2
2 1 5
5 7
54 50 100
14 50 37
88 73 13
49 60 72
89 48 50
2 3 4
2 1 5
1 5 3
2 5 3
4 2 1
2 4 5
5 4 1
5 4
36 70 15
68 88 63
6 96 6
66 51 47
81 53 78
3 2 5
1 3 4
4 2 5
3 5 1
5 6
38 54 98
1 1 84
48 87 99
81 35 97
15 46 71
3 5 4
1 5 3
2 1 4
1 5 4
4 3 1
2 1 3
5 5
69 27 35
44 92 84
7 94 26
2 77 14
17 77 1
2 3 1
3 1 5
1 4 5
5 4 3
1 3 4
5 6
84 62 16
99 27 76
10 80 56
12 45 12
84 87 66
5 2 4
2 4 1
2 3 5
3 4 2
5 3 4
5 1 3
5 7
68 80 20
74 84 18
49 43 95
93 86 61
12 24 2
2 5 4
3 5 2
2 3 4
3 2 1
5 1 2
4 3 5
4 3 1
5 4
98 86 50
73 96 77
61 90 4
30 90 59
37 6 39
3 1 4
1 2 3
2 1 5
5 4 2
5 5
93 7 86
67 64 4
25 31 70
81 97 13
39 19 98
1 2 4
4 1 3
5 3 1
5 4 1
3 4 5
5 7
23 79 75
63 15 55
89 20 84
43 59 58
30 69 12
3 5 2
1 5 4
1 2 3
2 1 4
3 1 5
3 5 4
1 2 5
5 6
97 68 13
44 6 28
14 89 34
59 87 22
65 41 100
5 4 2
4 3 5
4 3 2
4 1 2
5 2 3
1 2 5
5 6
90 20 20
15 37 85
39 30 11
20 32 51
90 42 41
2 5 3
1 5 3
2 5 4
3 4 2
2 4 1
5 1 2
5 7
80 51 2
79 75 74
42 39 43
23 24 47
79 71 15
4 1 5
1 2 5
2 3 4
4 3 1
1 4 2
2 5 3
5 1 3
5 6
28 92 45
26 15 3
43 24 12
62 91 59
15 88 18
4 3 2
1 3 4
2 1 5
3 2 1
5 3 2
5 1 3
5 3
57 83 42
85 90 43
59 35 81
77 72 31
27 41 15
3 2 1
1 5 3
5 4 3
5 7
16 39 44
54 82 43
42 54 10
46 90 46
41 27 55
5 3 1
4 1 5
3 2 5
2 5 1
2 1 4
3 2 4
2 4 5
5 6
3 8 4
21 10 23
91 91 70
29 6 98
4 65 6
2 5 1
2 3 4
5 1 4
4 2 1
4 2 5
4 3 5
5 6
88 38 22
80 70 18
6 60 70
42 13 9
96 18 23
2 4 3
3 4 5
1 5 3
1 4 3
2 1 4
3 2 1
5 3
89 44 47
19 71 91
92 50 98
38 99 10
75 17 68
3 2 5
1 4 3
2 3 4
5 6
73 38 81
41 18 15
3 98 71
97 26 89
16 26 6
2 4 1
1 3 4
1 2 3
2 1 5
5 3 1
2 4 3
5 3
53 80 59
91 68 2
66 74 40
11 58 97
19 71 61
2 1 4
4 2 3
5 1 2
5 3
92 50 34
51 12 72
35 80 65
57 99 40
94 81 66
4 5 3
4 1 2
2 4 5
5 7
29 73 40
77 84 92
30 8 77
9 36 29
34 64 54
3 1 5
2 4 3
5 4 3
4 1 5
2 1 5
1 3 4
2 1 4
5 3
76 34 6
25 57 96
44 82 70
1 30 77
74 15 93
3 4 1
3 2 1
5 3 1
5 3
43 34 82
55 38 58
13 78 53
93 95 88
13 40 79
5 2 1
2 3 5
1 5 3
5 4
4 1 71
6 28 78
50 11 23
83 36 81
77 6 98
2 3 5
4 2 5
3 1 2
4 3 5
5 7
91 95 26
43 97 71
38 35 4
75 44 44
94 51 84
4 5 1
5 1 3
2 1 5
2 1 3
2 5 3
3 4 1
5 3 4
5 3
5 30 31
19 7 53
2 52 63
39 7 68
32 20 63
5 3 1
5 4 3
2 3 1
5 4
55 86 85
63 85 84
28 29 73
65 44 37
75 81 23
2 3 5
3 4 2
3 1 2
1 3 5
5 7
4 9 52
47 18 88
15 94 31
81 50 34
96 46 60
3 1 5
2 5 3
4 1 3
5 1 2
5 3 4
1 5 4
3 1 2
5 6
26 37 37
82 29 85
34 10 62
52 28 43
27 80 52
3 1 2
5 4 1
1 5 2
3 5 2
3 4 1
2 4 1
5 6
68 91 73
87 56 6
47 83 16
31 35 66
98 22 9
3 1 5
1 5 4
3 1 4
3 5 2
3 1 2
1 2 5
5 5
57 35 8
79 69 75
65 98 76
17 13 66
3 89 9
3 2 4
1 4 3
3 5 4
1 4 5
5 3 1
5 5
35 50 50
100 57 89
58 85 67
67 25 15
80 88 92
3 1 4
2 1 5
1 5 4
4 5 2
5 1 3
5 3
30 96 66
27 42 98
100 26 25
32 49 86
17 33 61
2 4 5
4 3 5
4 1 5
5 5
96 5 42
74 68 59
56 78 81
39 55 31
91 34 62
5 4 3
1 4 5
4 3 2
1 4 3
5 3 1
5 5
100 22 88
27 21 20
96 5 20
46 34 9
89 86 80
5 3 2
4 2 3
3 2 1
3 5 4
3 5 1
5 7
50 7 7
5 76 2
99 6 78
4 58 40
74 12 59
1 2 4
3 5 4
2 5 3
3 2 4
1 5 4
1 5 2
5 1 3
5 3
7 18 59
86 22 55
63 69 75
13 45 76
48 92 39
3 1 5
3 2 1
5 1 4
5 4
60 87 100
10 5 64
94 70 100
61 100 61
88 67 69
2 5 1
5 2 3
1 2 4
1 3 2
5 7
16 61 97
1 57 55
73 92 37
68 48 26
99 34 31
5 1 2
3 5 4
5 2 4
1 2 4
3 2 1
3 1 4
5 1 4
5 3
100 47 87
91 4 21
41 3 20
24 99 53
42 63 18
2 3 1
2 1 5
4 1 3
5 7
7 71 7
84 82 74
85 17 63
11 33 66
33 62 52
3 1 2
2 1 5
4 3 2
3 4 1
4 5 2
4 2 1
5 4 1
5 5
86 63 60
31 48 30
63 80 65
15 56 24
7 73 21
2 1 3
2 4 5
3 1 5
1 5 2
2 1 4
5 5
19 62 78
41 66 59
15 85 39
71 30 50
48 29 7
4 1 5
3 5 4
5 1 3
1 3 2
3 5 2
5 5
98 43 89
96 96 53
24 63 55
28 88 99
37 50 77
5 2 1
3 2 5
2 5 4
1 3 5
4 3 5
5 5
33 79 12
6 21 85
71 81 85
1 96 51
24 85 71
3 1 4
2 1 5
4 2 1
4 5 1
3 2 1
5 5
9 74 50
10 6 34
82 47 17
78 72 80
17 26 3
2 5 3
5 1 2
4 5 1
4 5 2
5 3 4
5 7
95 67 16
20 65 85
24 41 39
23 8 95
45 35 50
4 5 1
2 4 1
1 4 3
2 1 3
1 3 5
3 4 5
2 4 3
5 5
76 50 76
60 59 6
45 85 100
9 51 6
46 71 100
5 4 2
5 1 4
5 1 2
2 3 5
5 4 3
5 6
86 52 46
60 88 57
33 85 48
41 21 52
77 91 67
3 5 4
5 3 2
2 5 4
4 3 2
4 1 2
1 5 2
5 6
53 65 3
37 48 73
26 14 97
21 50 44
94 13 16
4 3 5
1 5 4
3 2 4
2 1 4
3 4 1
1 5 2
5 5
39 65 65
39 41 85
12 64 72
21 61 33
3 83 95
1 2 5
3 5 1
5 2 3
1 2 3
4 3 1
5 5
6 44 76
32 4 73
42 39 87
24 49 77
45 9 93
2 3 1
5 2 3
1 3 4
2 4 3
5 1 3
5 5
64 63 50
68 30 68
47 36 53
63 58 80
3 27 41
3 4 2
5 2 3
4 5 3
1 4 2
2 1 3
5 5
37 89 25
77 52 60
49 21 95
7 76 27
78 34 59
4 2 1
2 1 5
5 1 4
3 5 2
2 4 5
5 6
39 73 96
28 47 53
57 54 25
40 80 60
28 47 97
5 3 2
5 4 2
3 4 1
1 4 2
1 5 2
4 2 3
5 3
71 77 40
76 17 76
70 73 1
94 81 69
81 7 59
1 2 4
4 1 3
3 4 2
5 7
25 84 16
49 82 76
53 41 38
82 23 9
53 40 46
5 2 3
2 4 3
2 1 3
4 5 2
2 1 5
2 1 4
1 3 5
5 7
81 62 36
56 34 90
39 93 22
81 10 37
9 91 85
1 3 5
4 3 5
5 1 4
1 4 3
1 2 4
2 5 1
4 2 5
5 4
88 60 6
87 65 41
93 69 37
81 28 9
87 84 100
4 3 1
1 2 4
5 4 3
2 3 4
5 3
48 52 12
70 77 88
90 38 82
4 58 17
74 78 37
4 1 3
3 2 1
4 5 2
5 3
54 11 31
45 97 56
62 12 55
46 24 93
86 75 52
5 1 2
4 5 1
4 3 5
5 3
71 12 36
34 3 36
24 47 66
91 85 34
68 45 15
2 3 1
5 3 4
5 3 1
5 5
73 31 88
96 51 84
60 29 22
82 47 11
87 58 72
3 5 4
4 1 5
2 1 5
1 3 4
2 4 5
5 4
54 28 45
70 44 78
20 91 68
26 16 15
29 17 81
1 4 3
3 2 1
3 5 2
2 4 3
5 4
25 52 31
28 41 70
66 56 89
78 81 98
85 80 85
1 3 2
5 3 1
4 3 5
5 1 2
5 7
28 67 86
1 100 36
54 24 2
5 86 36
68 83 92
3 1 5
3 4 1
3 4 5
1 4 5
4 2 3
4 1 2
5 1 2
5 7
76 69 14
30 86 23
92 29 15
56 69 12
10 7 74
5 2 4
1 3 2
2 3 5
3 4 5
5 1 2
5 1 3
4 2 3
5 3
33 48 25
27 25 63
28 84 51
69 70 91
24 68 57
4 5 1
2 4 5
3 1 4
5 3
43 75 98
71 12 13
61 87 45
79 57 59
43 87 59
3 2 5
4 2 1
4 5 1
5 3
16 38 81
48 61 83
53 89 10
41 17 47
94 79 44
2 3 1
1 5 4
4 1 3
5 3
78 16 35
64 73 42
51 10 10
45 50 4
45 23 97
2 3 5
1 3 2
2 5 4
5 6
73 18 29
87 65 29
60 37 98
47 67 66
86 50 93
5 4 1
5 3 4
2 1 4
1 3 4
4 2 5
5 1 2
5 3
32 96 32
1 13 94
26 84 7
20 24 65
99 8 46
4 2 5
1 3 5
1 4 2
5 5
22 27 43
56 14 81
66 40 86
14 53 32
21 86 38
4 5 3
5 1 4
5 2 1
1 3 5
1 4 3
5 4
64 89 22
100 14 83
47 48 19
87 33 9
49 75 1
4 5 2
3 2 1
2 1 5
1 3 5
5 6
57 42 51
10 64 49
74 5 10
18 32 60
94 39 28
5 4 3
5 4 1
5 2 3
2 5 4
1 5 3
3 2 4
5 3
27 19 9
46 24 28
80 8 35
28 35 93
28 97 45
5 1 4
5 4 3
3 4 2
5 6
35 32 39
35 55 90
20 19 6
64 14 92
51 56 38
4 1 5
1 2 3
3 1 4
2 5 1
5 1 3
4 1 2
5 4
79 4 91
32 16 46
27 93 28
52 12 77
17 90 91
5 2 4
4 3 1
5 4 3
1 4 5
5 4
87 49 87
38 69 87
34 10 74
78 92 78
10 14 80
4 2 1
1 5 2
3 4 2
3 5 4
5 3
9 74 75
2 46 72
100 23 15
25 40 45
53 86 20
3 1 2
4 1 2
5 4 1
5 5
14 76 45
72 92 18
36 14 27
4 13 67
50 69 59
3 1 4
4 5 1
2 1 4
2 5 1
4 2 5
5 6
52 39 91
98 35 61
30 79 32
19 97 100
60 46 15
3 2 1
1 4 2
5 1 3
1 5 2
5 3 2
1 4 3
5 6
46 72 69
52 37 96
33 40 77
63 71 86
74 53 24
3 2 1
2 1 4
1 5 4
5 2 3
5 2 1
1 4 3
5 5
15 32 100
51 77 38
96 55 66
95 38 81
58 14 21
5 4 1
5 2 3
5 3 4
3 1 4
1 4 2
5 7
39 94 55
49 57 60
68 67 15
100 59 86
43 76 49
1 2 4
2 5 1
3 1 4
3 2 5
4 2 3
1 3 5
3 2 1
5 6
97 74 26
26 37 77
18 78 66
41 31 73
27 95 64
5 4 3
1 3 4
1 3 2
1 5 3
5 1 4
2 4 1
5 4
95 96 85
59 27 26
41 26 59
35 40 13
54 53 71
1 3 4
3 5 1
4 2 1
3 2 4
5 7
60 43 53
42 3 28
44 100 73
28 52 86
82 21 61
2 1 5
2 4 1
4 1 3
5 4 3
2 4 3
5 1 4
3 5 1
5 4
7 72 48
41 7 46
1 48 44
73 44 61
87 73 90
3 1 2
1 4 3
4 3 2
5 1 4
5 5
79 11 43
49 78 56
7 13 52
23 42 92
78 69 43
1 4 3
1 3 5
5 1 2
2 3 5
2 1 3
5 4
78 75 12
75 36 20
9 3 22
6 70 18
84 100 24
4 1 5
3 4 2
3 5 2
5 1 2
5 6
5 96 11
96 19 70
53 14 85
96 90 18
22 40 21
4 2 3
5 2 1
5 1 4
1 2 4
1 3 2
3 4 1
5 7
34 75 2
43 83 23
90 23 33
14 99 12
67 75 92
2 5 3
4 1 2
3 5 1
2 4 5
3 4 5
1 3 4
5 2 1
5 6
7 19 52
10 76 13
55 42 27
12 76 45
33 68 97
3 2 5
2 1 3
5 1 2
5 1 4
2 4 5
1 2 4
5 4
30 86 86
55 42 95
84 37 8
23 48 76
27 22 44
1 2 3
3 5 1
2 4 3
2 4 1
5 4
24 65 96
39 58 47
39 21 91
11 90 33
33 49 1
2 5 4
1 4 3
1 2 4
1 5 2
5 3
20 59 77
51 64 41
8 16 53
19 70 18
83 21 92
4 3 5
3 2 5
5 1 3
5 7
66 86 19
7 20 73
83 100 78
62 78 53
50 87 7
2 5 1
2 5 3
1 4 5
3 2 4
4 2 1
1 3 4
2 5 4
5 5
5 78 84
94 56 56
56 88 7
58 82 23
15 51 70
5 2 4
5 3 4
3 2 5
1 3 4
3 1 5
5 3
60 85 65
29 4 67
67 71 34
17 66 19
13 50 8
4 5 2
3 4 2
5 2 3
5 7
26 66 97
20 76 56
72 92 49
24 16 25
44 80 57
3 2 5
4 1 3
3 1 2
3 4 2
1 4 5
4 2 1
4 3 5
5 6
60 52 1
12 41 24
82 15 4
89 49 27
95 69 80
5 2 1
4 3 1
1 4 2
1 5 4
2 4 5
3 4 5
5 3
35 68 39
75 86 88
96 85 29
26 7 34
94 12 65
3 1 2
2 3 5
3 1 4
5 7
48 57 54
30 10 26
98 90 37
96 23 83
17 20 96
3 1 4
5 4 1
5 1 2
1 5 3
5 2 4
3 1 2
4 2 3
5 3
54 5 34
23 66 42
21 32 59
92 41 28
20 47 63
4 1 2
5 4 3
1 3 4
5 3
7 6 82
84 85 7
77 51 44
10 66 53
86 63 58
3 2 1
3 5 1
2 5 1
5 3
26 74 18
46 88 25
91 26 89
50 76 74
32 72 16
5 3 4
2 3 4
2 5 1
5 5
28 37 61
87 22 4
66 83 87
38 88 42
30 81 27
4 5 3
1 3 2
3 1 4
2 5 4
5 1 4
5 4
93 91 16
31 38 51
17 60 14
67 95 25
54 81 24
3 1 4
4 2 1
3 4 5
4 2 5
5 6
73 33 65
17 60 32
59 53 77
91 9 96
33 36 48
3 5 1
3 1 4
1 5 4
5 3 4
5 2 1
2 3 1
5 4
48 34 39
22 63 74
20 71 51
47 100 55
84 45 13
1 5 4
5 1 3
5 4 2
3 2 4
5 3
22 13 46
54 22 26
7 28 60
75 14 69
36 9 17
2 1 4
1 4 5
3 4 1
5 7
98 71 16
95 28 67
33 94 40
41 37 100
18 7 43
5 1 4
1 2 5
4 1 3
4 2 1
5 2 4
4 3 5
5 1 3
5 3
72 8 73
92 14 34
30 51 48
94 41 23
43 79 76
2 1 5
5 1 3
1 2 4
5 3
28 65 46
24 66 90
75 11 50
35 51 31
21 89 57
2 5 1
3 5 1
1 2 4
5 5
72 39 51
23 46 60
100 44 89
77 54 40
5 2 58
1 5 3
1 3 4
2 4 1
1 4 5
2 3 5
5 3
79 45 81
70 57 43
87 62 83
15 66 72
85 79 46
1 3 4
4 1 5
5 3 1
5 5
3 8 54
32 10 78
41 65 27
73 55 41
69 1 90
3 5 4
3 4 2
2 4 5
4 5 1
4 1 3
5 4
71 39 82
100 22 37
100 43 37
21 71 30
46 80 97
5 3 1
1 5 2
4 3 5
4 5 1
5 4
20 37 70
36 25 50
21 11 14
37 11 10
15 1 61
1 4 2
5 4 2
2 4 3
4 3 5
5 7
39 14 44
64 16 40
52 29 19
69 7 72
71 16 76
5 3 1
2 3 1
2 1 5
5 4 2
2 3 5
5 4 1
4 1 2
5 7
97 62 32
34 3 71
46 30 64
61 98 25
89 96 32
1 3 4
1 3 2
3 5 4
1 3 5
5 4 1
4 1 2
4 3 2
5 6
42 61 98
65 55 13
47 91 76
94 49 67
61 63 89
2 3 4
3 4 5
3 5 1
1 2 3
5 2 3
1 5 2
5 6
72 46 39
38 85 51
41 59 92
47 34 95
67 53 75
2 3 5
5 1 2
5 4 3
5 4 2
4 1 5
4 2 1
5 3
41 71 59
30 8 73
18 3 39
78 4 67
61 58 44
5 4 3
4 2 5
4 1 2
5 7
1 78 68
10 82 13
76 71 88
62 99 48
15 57 83
1 3 5
4 1 3
2 1 5
3 4 2
3 2 1
3 2 5
2 4 1
5 3
10 93 71
92 1 95
53 82 44
85 96 87
94 7 37
1 5 4
1 5 3
1 2 5
5 7
7 5 79
74 30 100
55 73 26
57 48 43
100 41 24
5 1 2
4 2 5
1 3 4
5 2 3
5 3 4
2 1 4
1 4 5
5 4
36 52 31
27 86 100
6 40 61
22 99 19
50 49 20
1 5 4
2 4 3
1 2 3
1 4 3
5 6
70 68 13
50 92 59
98 2 18
23 48 89
69 39 12
1 4 5
4 2 3
5 3 4
1 2 3
3 1 5
1 4 3
5 5
61 29 78
28 32 97
87 27 16
51 82 10
88 63 50
3 2 1
3 4 5
1 5 4
1 3 5
1 3 4
5 3
80 35 84
98 55 52
61 42 25
60 23 78
23 16 25
1 4 2
5 1 2
1 3 2
5 7
64 48 19
52 16 98
90 77 91
61 80 2
81 64 86
4 5 2
1 3 5
4 1 5
4 2 3
3 2 1
1 2 5
4 1 2
5 7
85 4 20
59 100 89
52 81 75
26 25 44
69 57 43
1 2 4
1 5 2
1 4 3
